대표발의자_정당,공동발의자_정당,협력지수,파일명,평균_혼합성지수
정의당,더불어민주당,0.04506445643702489,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
정의당,자유한국당,0.003563686870567335,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
정의당,정의당,0.21398024625545645,20대_소관위원회_문화체육관광위원회.csv,0.13679304698324726
국민의당,국민의당,0.683837169007131,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
국민의당,더불어민주당,0.1135619587963135,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
국민의당,자유한국당,0.07826929845255627,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
국민의당,정의당,0.012852670201212597,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
더불어민주당,국민의당,0.14937551502352667,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
더불어민주당,더불어민주당,0.89292473666718,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
더불어민주당,자유한국당,0.015299810245907167,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
더불어민주당,정의당,0.11326372119621834,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
자유한국당,국민의당,0.051616473501519995,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
자유한국당,더불어민주당,0.02224299508394027,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
자유한국당,자유한국당,0.92008681441407,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
자유한국당,정의당,0.0025897481848054663,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
정의당,국민의당,0.030995992018161132,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
정의당,더불어민주당,0.07951111018771956,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
정의당,자유한국당,0.0028220171376626174,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
정의당,정의당,0.4077972019027269,20대_소관위원회_과학기술정보방송통신위원회.csv,0.14606525911708254
국민의당,국민의당,0.7154098036050796,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
국민의당,더불어민주당,0.10630100864134295,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
국민의당,자유한국당,0.03753787605664508,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
국민의당,정의당,0.03430115828391886,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
더불어민주당,국민의당,0.10254716783580928,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
더불어민주당,더불어민주당,0.9061375598865665,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
더불어민주당,자유한국당,0.005672330029055203,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
더불어민주당,정의당,0.07536841278227038,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
자유한국당,국민의당,0.06570708753383933,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
자유한국당,더불어민주당,0.04501839262607994,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
자유한국당,자유한국당,0.9229976483021946,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
자유한국당,정의당,0.009013121118281658,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
정의당,국민의당,0.07887494401803861,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
정의당,더불어민주당,0.09075186440528268,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
정의당,자유한국당,0.0016845236808449222,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
정의당,정의당,0.47827472587341485,20대_소관위원회_국회운영위원회.csv,0.1318332829960737
국민의당,국민의당,0.7094487466989956,20대_소관위원회_국방위원회.csv,0.14961211673439231
국민의당,더불어민주당,0.12566634831232085,20대_소관위원회_국방위원회.csv,0.14961211673439231
국민의당,자유한국당,0.047847164122813986,20대_소관위원회_국방위원회.csv,0.14961211673439231
국민의당,정의당,0.036588086663230115,20대_소관위원회_국방위원회.csv,0.14961211673439231
더불어민주당,국민의당,0.10987577057216023,20대_소관위원회_국방위원회.csv,0.14961211673439231
더불어민주당,더불어민주당,0.8789445981961218,20대_소관위원회_국방위원회.csv,0.14961211673439231
더불어민주당,자유한국당,0.04023417220311063,20대_소관위원회_국방위원회.csv,0.14961211673439231
더불어민주당,정의당,0.07647681192214398,20대_소관위원회_국방위원회.csv,0.14961211673439231
자유한국당,국민의당,0.04505708172749018,20대_소관위원회_국방위원회.csv,0.14961211673439231
자유한국당,더불어민주당,0.026595838741673875,20대_소관위원회_국방위원회.csv,0.14961211673439231
자유한국당,자유한국당,0.9198317943015355,20대_소관위원회_국방위원회.csv,0.14961211673439231
자유한국당,정의당,0.00385197038234441,20대_소관위원회_국방위원회.csv,0.14961211673439231
정의당,국민의당,0.040750689984827226,20대_소관위원회_국방위원회.csv,0.14961211673439231
정의당,더불어민주당,0.1290033852673346,20대_소관위원회_국방위원회.csv,0.14961211673439231
정의당,자유한국당,0.016189922144842963,20대_소관위원회_국방위원회.csv,0.14961211673439231
정의당,정의당,0.5077657570983436,20대_소관위원회_국방위원회.csv,0.14961211673439231
국민의당,국민의당,0.7519625540870608,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
국민의당,더불어민주당,0.10485174980308029,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
국민의당,자유한국당,0.09391764126041764,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
국민의당,정의당,0.04438660428071458,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
더불어민주당,국민의당,0.08741610674764018,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
더불어민주당,더불어민주당,0.9218409346764357,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
더불어민주당,자유한국당,0.0026980334691819236,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
더불어민주당,정의당,0.13209115017246958,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
자유한국당,국민의당,0.05328122580282745,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
자유한국당,더불어민주당,0.01701410313206072,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
자유한국당,자유한국당,0.9168007331001835,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
정의당,국민의당,0.016492356533176447,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
정의당,더불어민주당,0.0387610365430873,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
정의당,자유한국당,0.007317225523830779,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
정의당,정의당,0.21629522817435007,20대_소관위원회_여성가족위원회.csv,0.12183738639154999
국민의당,국민의당,0.7414786082027418,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
국민의당,더불어민주당,0.13317072277038972,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
국민의당,자유한국당,0.03249602363470927,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
국민의당,정의당,0.021409464361527523,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
더불어민주당,국민의당,0.09196724776693062,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
더불어민주당,더불어민주당,0.9144842195487679,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
더불어민주당,자유한국당,0.03197063120045651,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
더불어민주당,정의당,0.08109377545494188,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
자유한국당,국민의당,0.03430159307845414,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
