Source,Target,Source_Party,Target_Party,Source_Reselection,Target_Reselection,Source_District_Type,Target_District_Type,Source_Gender,Target_Gender,Source_Role,Target_Role
이진복,이헌승,자유한국당,자유한국당,3선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
이진복,정갑윤,자유한국당,자유한국당,3선,5선,지역구,지역구,남,남,Representative,Co-Sponsor
이진복,추경호,자유한국당,자유한국당,3선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,김태년,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,노웅래,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,박정,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,백재현,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,안호영,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,윤관석,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,전혜숙,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Representative,Co-Sponsor
권칠승,정재호,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,김태년,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,노웅래,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,박정,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,백재현,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,안호영,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,윤관석,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
권칠승,전혜숙,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Representative,Co-Sponsor
권칠승,정재호,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김도읍,이진복,자유한국당,자유한국당,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
김성원,이진복,자유한국당,자유한국당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
박명재,이진복,자유한국당,자유한국당,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
박성중,이진복,자유한국당,자유한국당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
유재중,이진복,자유한국당,자유한국당,3선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
윤재옥,이진복,자유한국당,자유한국당,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
이진복,이헌승,자유한국당,자유한국당,3선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
이진복,정갑윤,자유한국당,자유한국당,3선,5선,지역구,지역구,남,남,Representative,Co-Sponsor
이진복,추경호,자유한국당,자유한국당,3선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김경진,장병완,국민의당,국민의당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
김광수,장병완,국민의당,국민의당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
김종회,장병완,국민의당,국민의당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
