노드,Betweenness,소관위원회
이규민,0.002182393237557451,법제사법위원회
이낙연,0.0,법제사법위원회
정정순,0.0,법제사법위원회
윤희숙,0.0,법제사법위원회
이상직,0.0,법제사법위원회
김진애,0.0002551686870733778,법제사법위원회
이원택,0.001001261158794443,국토교통위원회
한병도,0.0007429151732737472,국토교통위원회
윤준병,0.006711323291789814,국토교통위원회
김윤덕,0.009233596174398983,국토교통위원회
허영,0.011245095358693035,국토교통위원회
서삼석,0.0008956827722610641,국토교통위원회
김민철,0.010971853911346198,국토교통위원회
신영대,0.005102554372646975,국토교통위원회
허숙정,0.0,국토교통위원회
김승남,0.002900841523305924,국토교통위원회
김성주,0.0005282313530313509,국토교통위원회
양정숙,0.007776423202470909,국토교통위원회
양경숙,0.0038275050115775637,국토교통위원회
유정주,0.0013919007977421284,국토교통위원회
